sku;urun;alan;birim;bizim_deger;bizim_kaynak;uretici_deger;fark;fark_yuzde;kaynak_belge;kaynak_sayfa;kaynak_turu;alinti;hukum;not
AVE-NX5634100;NIMAX 564 T4 3kW;devir;d/dk;1420;canlı teknik veri;1420;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5644100 NIMAX 564 T4 3kW 1420 10,7 6,17 3 15.460 63 126,18 1;aynı;
AVE-NX5634100;NIMAX 564 T4 3kW;motor gücü;kW;3;ürün adı (canlı);3;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5644100 NIMAX 564 T4 3kW 1420 10,7 6,17 3 15.460 63 126,18 1;aynı;
AVE-NX5634100;NIMAX 564 T4 3kW;üretici kodu;;NX5634100;AVenS fiyat listesi 2026 s.48;NX5644100;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5644100 NIMAX 564 T4 3kW 1420 10,7 6,17 3 15.460 63 126,18 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX6334132;NIMAX 634 T4 5,5kW;debi (kaynakta tanımsız: Air flow);m³/h;22010;AVenS fiyat listesi 2026 s.48: NX6334132 | NIMAX 634 T4 5,5kW | 22010 m³/h;22010;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX6344132 NIMAX 634 T4 5,5kW 1460 - 10,5 5,50 22.010 66 170,69 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX6334132;NIMAX 634 T4 5,5kW;devir;d/dk;1460;canlı teknik veri;1460;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX6344132 NIMAX 634 T4 5,5kW 1460 - 10,5 5,50 22.010 66 170,69 1;aynı;
AVE-NX6334132;NIMAX 634 T4 5,5kW;motor gücü;kW;5.5;ürün adı (canlı);5.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX6344132 NIMAX 634 T4 5,5kW 1460 - 10,5 5,50 22.010 66 170,69 1;aynı;
AVE-NX6334132;NIMAX 634 T4 5,5kW;üretici kodu;;NX6334132;AVenS fiyat listesi 2026 s.48;NX6344132;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX6344132 NIMAX 634 T4 5,5kW 1460 - 10,5 5,50 22.010 66 170,69 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX7144160;NIMAX 714 T4 11kW;debi (kaynakta tanımsız: Air flow);m³/h;31500;AVenS fiyat listesi 2026 s.48: NX7144160 | NIMAX 714 T4 11kW | 31500 m³/h;31500;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX7144160 NIMAX 714 T4 11kW 1455 - 21,2 11 31.500 70 222,65 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX7144160;NIMAX 714 T4 11kW;devir;d/dk;1455;canlı teknik veri;1455;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX7144160 NIMAX 714 T4 11kW 1455 - 21,2 11 31.500 70 222,65 1;aynı;
AVE-NX7144160;NIMAX 714 T4 11kW;motor gücü;kW;11;ürün adı (canlı);11;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX7144160 NIMAX 714 T4 11kW 1455 - 21,2 11 31.500 70 222,65 1;aynı;
AVE-NX7144160;NIMAX 714 T4 11kW;üretici kodu;;NX7144160;AVenS fiyat listesi 2026 s.48;NX7144160;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX7144160 NIMAX 714 T4 11kW 1455 - 21,2 11 31.500 70 222,65 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX8034180;NIMAX 804 T4 18,5kW;debi (kaynakta tanımsız: Air flow);m³/h;45060;AVenS fiyat listesi 2026 s.48: NX8034180 | NIMAX 804 T4 18,5kW | 45060 m³/h;45060;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX8044180 NIMAX 804 T4 18,5kW 1470 - 35,6 18,50 45.060 73 279,93 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX8034180;NIMAX 804 T4 18,5kW;devir;d/dk;1470;canlı teknik veri;1470;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX8044180 NIMAX 804 T4 18,5kW 1470 - 35,6 18,50 45.060 73 279,93 1;aynı;
AVE-NX8034180;NIMAX 804 T4 18,5kW;motor gücü;kW;18.5;ürün adı (canlı);18.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX8044180 NIMAX 804 T4 18,5kW 1470 - 35,6 18,50 45.060 73 279,93 1;aynı;
AVE-NX8034180;NIMAX 804 T4 18,5kW;üretici kodu;;NX8034180;AVenS fiyat listesi 2026 s.48;NX8044180;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX8044180 NIMAX 804 T4 18,5kW 1470 - 35,6 18,50 45.060 73 279,93 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX9034200;NIMAX 904 T4 37kW;debi (kaynakta tanımsız: Air flow);m³/h;64160;AVenS fiyat listesi 2026 s.48: NX9034200 | NIMAX 904 T4 37kW | 64160 m³/h;64160;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX9044225 NIMAX 904 T4 37kW 1470 - 69,2 37 64.160 77 382,71 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX9034200;NIMAX 904 T4 37kW;devir;d/dk;1470;canlı teknik veri;1470;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX9044225 NIMAX 904 T4 37kW 1470 - 69,2 37 64.160 77 382,71 1;aynı;
AVE-NX9034200;NIMAX 904 T4 37kW;motor gücü;kW;37;ürün adı (canlı);37;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX9044225 NIMAX 904 T4 37kW 1470 - 69,2 37 64.160 77 382,71 1;aynı;
AVE-NX9034200;NIMAX 904 T4 37kW;üretici kodu;;NX9034200;AVenS fiyat listesi 2026 s.48;NX9044225;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX9044225 NIMAX 904 T4 37kW 1470 - 69,2 37 64.160 77 382,71 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
SEA-61102000;STORM 10 · 1400 d/dk · 0,06 kW · 380V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.09;canlı teknik veri (max_absorbed_power_w);0.06;-0.03;-33.3;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 10 | 3.50 | 380 V | 0,06 | 1400;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61102003;STORM 10 ATEX · 1400 d/dk · 0,06 kW · 380V;motor gücü;kW;0.06;canlı teknik veri (rated_power_w);0.06;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61102003 | STORM 10 ATEX | 4.33 | 380 V | 0,06 | 1400;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61102010;STORM 10 XRM · 1400 d/dk · 0,06 kW · 220V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.09;canlı teknik veri (max_absorbed_power_w);0.06;-0.03;-33.3;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 10 XRM (*) | 2.10 | 220 V | 0,06 | 1400;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61103000;STORM 10 · 2800 d/dk · 0,09 kW · 380V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.12;canlı teknik veri (max_absorbed_power_w);0.09;-0.03;-25;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 10 | 5.33 | 380 V | 0,09 | 2800;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61103003;STORM 10 ATEX · 2800 d/dk · 0,12 kW · 380V;motor gücü;kW;0.12;canlı teknik veri (rated_power_w);0.12;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61103003 | STORM 10 ATEX | 4.33 | 380 V | 0,12 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61103010;STORM 10 · 2800 d/dk · 0,09 kW · 220V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.12;canlı teknik veri (max_absorbed_power_w);0.09;-0.03;-25;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 10 | 4.43 | 220 V | 0,09 | 2800;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61103110;STORM 10 · 1400 d/dk · 0,06 kW · 220V;motor gücü;kW;0.06;canlı teknik veri (rated_power_w);0.06;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 10 | 2.70 | 220 V | 0,06 | 1400;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61122000;STORM 12 · 1400 d/dk · 0,25 kW · 380V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.18;canlı teknik veri (max_absorbed_power_w);0.25;0.07;38.9;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 12 | 7.33 | 380 V | 0,25 | 1400;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61122003;STORM 12 ATEX · 1400 d/dk · 0,25 kW · 380V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.18;canlı teknik veri (max_absorbed_power_w);0.25;0.07;38.9;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61122003 | STORM 12 ATEX | 10.33 | 380 V | 0,25 | 1400;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61122010;STORM 12 · 1400 d/dk · 0,25 kW · 220V;güç (bizde çekilen güç, kaynakta motor gücü);kW;0.18;canlı teknik veri (max_absorbed_power_w);0.25;0.07;38.9;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 12 | 7.80 | 220 V | 0,25 | 1400;belirsiz;farklı büyüklük: bizde çekilen güç, listede motor (plaka) gücü — üretici (SEAT) sayfasında güç yok
SEA-61123000;STORM 12 · 2800 d/dk · 0,37 kW · 380V;motor gücü;kW;0.37;canlı teknik veri (rated_power_w);0.37;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 12 | 7.40 | 380 V | 0,37 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61123003;STORM 12 ATEX · 2800 d/dk · 0,37 kW · 380V;motor gücü;kW;0.37;canlı teknik veri (rated_power_w);0.37;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61123003 | STORM 12 ATEX | 9.23 | 380 V | 0,37 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61123010;STORM 12 · 2800 d/dk · 0,37 kW · 220V;motor gücü;kW;0.37;canlı teknik veri (rated_power_w);0.37;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 12 | 5.60 | 220 V | 0,37 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61143000;STORM 14 · 2800 d/dk · 1,1 kW · 380V;motor gücü;kW;1.1;canlı teknik veri (rated_power_w);1.1;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 14 | 15.8 | 380 V | 1,1 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61143003;STORM 14 ATEX · 2800 d/dk · 1,1 kW · 380V;motor gücü;kW;1.1;canlı teknik veri (rated_power_w);1.1;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61143003 | STORM 14 ATEX | 15.80 | 380 V | 1,1 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61143010;STORM 14 · 2800 d/dk · 1,1 kW · 220V;motor gücü;kW;1.1;canlı teknik veri (rated_power_w);1.1;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 14 | 12.8 | 220 V | 1,1 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61163000;STORM 16 · 2800 d/dk · 2,2 kW · 380V;motor gücü;kW;2.2;canlı teknik veri (rated_power_w);2.2;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 16 | 22.6 | 380 V | 2,2 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61163003;STORM 16 ATEX · 2800 d/dk · 2,2 kW · 380V;motor gücü;kW;2.2;canlı teknik veri (rated_power_w);2.2;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61163003 | STORM 16 ATEX | 20.59 | 380 V | 2,2 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61183000;STORM 18 · 2800 d/dk · 7,5 kW · 380V;motor gücü;kW;7.5;canlı teknik veri (rated_power_w);7.5;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;42;distribütör;STORM 18 | 22.6 | 380 V | 7,5 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
SEA-61183003;STORM 18 ATEX · 2800 d/dk · 7,5 kW · 380V;motor gücü;kW;7.5;canlı teknik veri (rated_power_w);7.5;0;0;ticaret/avensair-fiyat-listesi-2026/01-input/avens_fiyat_listesi_2026_HQ.pdf;45;distribütör;61183003 | STORM 18 ATEX | 20.59 | 380 V | 7,5 | 2800;aynı;üretici (SEAT) sayfasında güç yok — karşı kaynak distribütör listesi
VRT-253080106XN;VORTICENT CMS ATEX 12/5 T4 0,09kW;en yüksek debi;m³/h;250;canlı teknik veri (max_delivery_m3h);250;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474069b1565cead3f_VORTICENT-CMS-ATEX-12-5-T4-0-09kW.pdf;2;üretici;RPM | 1450 | Approx. weight | 5 kg | Max. Flow | 250 m³/h | | // Power | 0,09 kW | RPM | 1346 | I max. (230V) | 0,57 A | I max. (400V) | 0,33 A;aynı;
VRT-253080106XN;VORTICENT CMS ATEX 12/5 T4 0,09kW;motor gücü;kW;0.09;ürün adı (canlı);0.09;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474069b1565cead3f_VORTICENT-CMS-ATEX-12-5-T4-0-09kW.pdf;2;üretici;RPM | 1450 | Approx. weight | 5 kg | Max. Flow | 250 m³/h | | // Power | 0,09 kW | RPM | 1346 | I max. (230V) | 0,57 A | I max. (400V) | 0,33 A;aynı;
VRT-253090106XE;VORTICENT CMS ATEX 14/5 T4 0,09kW;en yüksek debi;m³/h;414;canlı teknik veri (max_delivery_m3h);414;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474169b1565d0cf5d_VORTICENT-CMS-ATEX-14-5-T4-0-09kW.pdf;2;üretici;RPM | 1450 | Approx. weight | 6 kg | Max. Flow | 414 m³/h | | // Power | 0,09 kW | RPM | 1346 | I max. (230V) | 0,57 A | I max. (400V) | 0,33 A;aynı;
VRT-253090106XE;VORTICENT CMS ATEX 14/5 T4 0,09kW;motor gücü;kW;0.09;ürün adı (canlı);0.09;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474169b1565d0cf5d_VORTICENT-CMS-ATEX-14-5-T4-0-09kW.pdf;2;üretici;RPM | 1450 | Approx. weight | 6 kg | Max. Flow | 414 m³/h | | // Power | 0,09 kW | RPM | 1346 | I max. (230V) | 0,57 A | I max. (400V) | 0,33 A;aynı;
VRT-253110106XN;VORTICENT CMS ATEX 16/6 T2 0,37kW;devir;d/dk;2850;canlı teknik veri;2850;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474169b1565db3c3f_VORTICENT-CMS-ATEX-16-6-T2-0-37kW.pdf;2;üretici;RPM | 2850 | Approx. weight | 9.5 kg | Max. Flow | 1080 m³/h | | // Power | 0,37 kW | RPM | 2850 | I max. (400V) | 1 A | Size | 71;aynı;
VRT-253110106XN;VORTICENT CMS ATEX 16/6 T2 0,37kW;en yüksek debi;m³/h;1080;canlı teknik veri (max_delivery_m3h);1080;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474169b1565db3c3f_VORTICENT-CMS-ATEX-16-6-T2-0-37kW.pdf;2;üretici;RPM | 2850 | Approx. weight | 9.5 kg | Max. Flow | 1080 m³/h | | // Power | 0,37 kW | RPM | 2850 | I max. (400V) | 1 A | Size | 71;aynı;
VRT-253110106XN;VORTICENT CMS ATEX 16/6 T2 0,37kW;motor gücü;kW;0.37;ürün adı (canlı);0.37;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474169b1565db3c3f_VORTICENT-CMS-ATEX-16-6-T2-0-37kW.pdf;2;üretici;RPM | 2850 | Approx. weight | 9.5 kg | Max. Flow | 1080 m³/h | | // Power | 0,37 kW | RPM | 2850 | I max. (400V) | 1 A | Size | 71;aynı;
VRT-253260106XN;VORTICENT CMS ATEX 22/9 T4 0,37kW;devir;d/dk;1410;canlı teknik veri;1410;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474269b1565e217b0_VORTICENT-CMS-ATEX-22-9-T4-0-37kW.pdf;2;üretici;RPM | 1410 | Approx. weight | 21 kg | Max. Flow | 1830 m³/h | | // Power | 0,37 kW | RPM | 1410 | I max. (400V) | 1,2 A | Size | 71;aynı;
VRT-253260106XN;VORTICENT CMS ATEX 22/9 T4 0,37kW;en yüksek debi;m³/h;1830;canlı teknik veri (max_delivery_m3h);1830;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474269b1565e217b0_VORTICENT-CMS-ATEX-22-9-T4-0-37kW.pdf;2;üretici;RPM | 1410 | Approx. weight | 21 kg | Max. Flow | 1830 m³/h | | // Power | 0,37 kW | RPM | 1410 | I max. (400V) | 1,2 A | Size | 71;aynı;
VRT-253260106XN;VORTICENT CMS ATEX 22/9 T4 0,37kW;motor gücü;kW;0.37;ürün adı (canlı);0.37;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474269b1565e217b0_VORTICENT-CMS-ATEX-22-9-T4-0-37kW.pdf;2;üretici;RPM | 1410 | Approx. weight | 21 kg | Max. Flow | 1830 m³/h | | // Power | 0,37 kW | RPM | 1410 | I max. (400V) | 1,2 A | Size | 71;aynı;
VRT-253320106XN;VORTICENT CMS ATEX 25/10 T4 0,75kW;devir;d/dk;1410;canlı teknik veri;1410;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474269b1565ecbd03_VORTICENT-CMS-ATEX-25-10-T4-0-75kW.pdf;2;üretici;RPM | 1410 | Approx. weight | 26 kg | Max. Flow | 2830 m³/h | | // Power | 0,75 kW | RPM | 1410 | I max. (400V) | 2,1 A | Size | 80;aynı;
VRT-253320106XN;VORTICENT CMS ATEX 25/10 T4 0,75kW;en yüksek debi;m³/h;2830;canlı teknik veri (max_delivery_m3h);2830;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474269b1565ecbd03_VORTICENT-CMS-ATEX-25-10-T4-0-75kW.pdf;2;üretici;RPM | 1410 | Approx. weight | 26 kg | Max. Flow | 2830 m³/h | | // Power | 0,75 kW | RPM | 1410 | I max. (400V) | 2,1 A | Size | 80;aynı;
VRT-253320106XN;VORTICENT CMS ATEX 25/10 T4 0,75kW;motor gücü;kW;0.75;ürün adı (canlı);0.75;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474269b1565ecbd03_VORTICENT-CMS-ATEX-25-10-T4-0-75kW.pdf;2;üretici;RPM | 1410 | Approx. weight | 26 kg | Max. Flow | 2830 m³/h | | // Power | 0,75 kW | RPM | 1410 | I max. (400V) | 2,1 A | Size | 80;aynı;
VRT-253410106XN;VORTICENT CMS ATEX 28/11 T4 1,1kW;devir;d/dk;1420;canlı teknik veri;1420;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474369b1565f88ee4_VORTICENT-CMS-ATEX-28-11-T4-1-1kW.pdf;2;üretici;RPM | 1420 | Approx. weight | 32 kg | Max. Flow | 3580 m³/h | | // Power | 1,1 kW | RPM | 1420 | I max. (400V) | 3,3 A | Size | 90L;aynı;
VRT-253410106XN;VORTICENT CMS ATEX 28/11 T4 1,1kW;en yüksek debi;m³/h;3580;canlı teknik veri (max_delivery_m3h);3580;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474369b1565f88ee4_VORTICENT-CMS-ATEX-28-11-T4-1-1kW.pdf;2;üretici;RPM | 1420 | Approx. weight | 32 kg | Max. Flow | 3580 m³/h | | // Power | 1,1 kW | RPM | 1420 | I max. (400V) | 3,3 A | Size | 90L;aynı;
VRT-253410106XN;VORTICENT CMS ATEX 28/11 T4 1,1kW;motor gücü;kW;1.1;ürün adı (canlı);1.1;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474369b1565f88ee4_VORTICENT-CMS-ATEX-28-11-T4-1-1kW.pdf;2;üretici;RPM | 1420 | Approx. weight | 32 kg | Max. Flow | 3580 m³/h | | // Power | 1,1 kW | RPM | 1420 | I max. (400V) | 3,3 A | Size | 90L;aynı;
VRT-253420106XN;VORTICENT CMS ATEX 31/12 T4 2,2kW;devir;d/dk;1440;canlı teknik veri;1440;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474469b156603ce35_VORTICENT-CMS-ATEX-31-12-T4-2-2kW.pdf;2;üretici;RPM | 1440 | Approx. weight | 54 kg | Max. Flow | 5400 m³/h | | // Power | 2,2 kW | RPM | 1440 | I max. (400V) | 5,8 A | Size | 100L;aynı;
VRT-253420106XN;VORTICENT CMS ATEX 31/12 T4 2,2kW;en yüksek debi;m³/h;5400;canlı teknik veri (max_delivery_m3h);5400;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474469b156603ce35_VORTICENT-CMS-ATEX-31-12-T4-2-2kW.pdf;2;üretici;RPM | 1440 | Approx. weight | 54 kg | Max. Flow | 5400 m³/h | | // Power | 2,2 kW | RPM | 1440 | I max. (400V) | 5,8 A | Size | 100L;aynı;
VRT-253420106XN;VORTICENT CMS ATEX 31/12 T4 2,2kW;motor gücü;kW;2.2;ürün adı (canlı);2.2;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474469b156603ce35_VORTICENT-CMS-ATEX-31-12-T4-2-2kW.pdf;2;üretici;RPM | 1440 | Approx. weight | 54 kg | Max. Flow | 5400 m³/h | | // Power | 2,2 kW | RPM | 1440 | I max. (400V) | 5,8 A | Size | 100L;aynı;
VRT-253490106XN;VORTICENT CMS ATEX 35/14 T4 3kW;devir;d/dk;1420;canlı teknik veri;1420;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474469b15660e015d_VORTICENT-CMS-ATEX-35-14-T4-3kW.pdf;2;üretici;RPM | 1420 | Approx. weight | 63 kg | Max. Flow | 5870 m³/h | | // Power | 3 kW | RPM | 1420 | I max. (400V) | 6,8 A | Size | 100L;aynı;
VRT-253490106XN;VORTICENT CMS ATEX 35/14 T4 3kW;en yüksek debi;m³/h;5870;canlı teknik veri (max_delivery_m3h);5870;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474469b15660e015d_VORTICENT-CMS-ATEX-35-14-T4-3kW.pdf;2;üretici;RPM | 1420 | Approx. weight | 63 kg | Max. Flow | 5870 m³/h | | // Power | 3 kW | RPM | 1420 | I max. (400V) | 6,8 A | Size | 100L;aynı;
VRT-253490106XN;VORTICENT CMS ATEX 35/14 T4 3kW;motor gücü;kW;3;ürün adı (canlı);3;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474469b15660e015d_VORTICENT-CMS-ATEX-35-14-T4-3kW.pdf;2;üretici;RPM | 1420 | Approx. weight | 63 kg | Max. Flow | 5870 m³/h | | // Power | 3 kW | RPM | 1420 | I max. (400V) | 6,8 A | Size | 100L;aynı;
VRT-253510106XN;VORTICENT CMS ATEX 40/16 T4 7,5kW;devir;d/dk;1448;canlı teknik veri;1448;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474569b1566197d5b_VORTICENT-CMS-ATEX-40-16-T4-7-5kW.pdf;2;üretici;RPM | 1448 | Approx. weight | 110 kg | Max. Flow | 10570 m³/h | | // Power | 7,5 kW | RPM | 1448 | I max. (400V) | 15,6 A | Size | 132M;aynı;
VRT-253510106XN;VORTICENT CMS ATEX 40/16 T4 7,5kW;en yüksek debi;m³/h;10570;canlı teknik veri (max_delivery_m3h);10570;0;0;markalar/vortice/vorticent-cms-atex/01-input/11032611474569b1566197d5b_VORTICENT-CMS-ATEX-40-16-T4-7-5kW.pdf;2;üretici;RPM | 1448 | Approx. weight | 110 kg | Max. Flow | 10570 m³/h | | // Power | 7,5 kW | RPM | 1448 | I max. (400V) | 15,6 A | Size | 132M;aynı;
